DBA	LOCATION
LAQUINTA INN AND SUITES AIRPORT PLAZA	2445 N Airport Plaza Ave
WOODLAND MANOR	1347 E VALLEY WATER MILL
SPRINGHILL STES SPRGFLD N	2025 E KERR ST
HOTEL VANDIVORT	305 E WALNUT ST
RESIDENCE INN SPRINGFIELD	1303 E KINGSLEY ST
RESIDENCE INN JOPLIN	3128 EAST HAMMONS BOULEVA
SOMO GATEWAY SCHOOL	1823 W 20TH ST
HOT SHOTS CAPE GIRARDEAU	15 N MAIN ST
EX CAPE GIRARDEAU CGIWS	3253 WILLIAM ST
QDOBA #2609 WILLIAM	3019 WILLIAM ST
CAPE TOWN	2857 CAPE LACROIX RD
CAPETOWN ARBORS MC	2915 CAPE LA CROIX RD
WEST RIDGE PLACE MC	539 NORTHWEST ST
SOMO SE MO RESID SIKESTON	112 PLAZA DRIVE
FLYING J #57100 CHARLESTN	2460 EAST MARSHALL
FLYING J #67100 MATTHEWS	703 STATE HWY 80
HOLIDAY INN EXPRESS & SUITES	115 Hospitality Dr
CYPRESS PT HEALTH CARE	801 BAILIFF DRIVE
PILOT #44200 HAYTI	1701 HIGHWAY 84 EAST
ST FRANCIS PARK	1806 ST FRANCIS ST
HERITAGE N C AMERICARE	1802 ST FRANCIS
RIVERMIST CARE	2050 W MAUD
KRABBY DADDYS POPLAR BLUF	2201 N WESTWOOD BLVD
FAIRFIELD INN POPLR BLUFF	3109 OAK GROVE
SOMO W E SEARS YOUTH CTR	9400 SEARS LANE
SUGARFIRE SMOKEHOUSE OLIV	9200 OLIVE BLVD
QDOBA #2163 GRAND	3100 S GRAND BLVD
SALT AND SMOKE HAMPTON	5625 HAMPTON AVE
HI-POINTE DRIVE IN #1001	1033 MCCAUSLAND AVE
FIVE STAR BURGERS CLAYTON	8125 MARYLAND AVE
CROWN CENTER SR LIVING	8350 DELCREST AVE
COMPANION LADUE CAFE	9781 CLAYTON RD
LADUE TACO	9783 CLAYTON RD
PEEL PIZZA CLAYTON	208 S MERAMEC AVE
CJ MUGGS	200 S CENTRAL AVE
HOT SHOTS WENTZVILLE	49 WENTZVILLE BLUFFS DR
SUGARFIRE WENTZVILLE	1101 LODORA DR
URSHAN UNIVERSITY - URSHN	155 URSHAN WAY
SUGARFIRE WINGHAVEN	9955 WINGHAVEN BLVD
HOPE MONTESSORI LAKE ST L	1880 SOUTH HENKE ROAD
ANDREW ACADEMY LAKE ST L	1701 FEISE RD
THE CORNER PUB	101 W BOONESLICK RD
STONE SUMMIT STEAK AND SE	17 CLIFF VIEW DR
SWEET SPOT  OFALLON	9951 WINGHAVEN BLVD
CYRANOS CAFE	603 E LOCKWOOD AVE
THE FRISCO BARROOM	8110 BIG BEND BLVD
THE ANNEX	8122 BIG BEND BLVD
O + O PIZZERIA	102 W LOCKWOOD AVE
THE CLOVER AND THE BEE	100 W LOCKWOOD AVE
THE BLOCK - WEBSTER	146 LOCKWOOD AVENUE
AH0167 MCCALLUM PLACE	231 W LOCKWOOD AVE
PERENNIAL ON LOCKWOOD	216 W LOCKWOOD AVE
OLIVE AND OAK	216 WEST LOCKWOOD
SAN JOSE MEXICAN RESTAURA	35 N GORE AVE
O B CLARKS RESTAURANT	1921 S BRENTWOOD
DRURY INN & SUITES #164	8700 EAGER RD
PORTERS FRIED CHICKEN	3628 BIG BEND BLVD
ALTOS CANTINA DEER CREEK	3248 LACLEDE STATION RD
GIGIS COMMISSARY	815 FEE FEE RD
SNARFS PAGE	11512 PAGE SERVICE DR
SALT AND SMOKE COMMISSARY	2452 CENTERLINE INDUSTRIA
CASA JUAREZ MEXICAN TOWN	12710 DORSETT RD
OVGV#6170 S STL CE CENTER	750 CASINO CENTER DR
JX RESTAURANTS INC	64 WELDON PKWY
RSDNCE IN FRFD INN WST CO	11920 WESTLINE INDUSTRIAL
STAYBRIDGE STES WESTPORT	25 PROGRESS PKWY
HI POINTE DWNTWN #1002	634 WASHINGTON AVE
CHRIS' @ THE DOCKET	100 N TUCKER BLVD
ROOSTER'S LOCUST	1025 WASHINGTON
MARRIOTT STL GRAND HTL MN	800 WASHINGTON
DRURY INN #57	201 S 20TH ST
FAIRFLD INN & STS STL DTN	2144 MARKET ST
PEAR TREE INN #58	711 N BROADWAY
HOTEL SAINT LOUIS	705 OLIVE ST
OVER UNDER	911 WASHINGTON AVE
COURTYARD STL CC	823 WASHINGTON AVE
SUGARFIRE DOWNTOWN	605 WASHINGTON AVE
HMSF H M S HOST	10751 NATURAL BRIDGE
MGM NORMANDY NURSING CTR	7301 SAINT CHARLES ROCK R
LIONS CHOICE BRIDGETN #03	11265 ST CHARLES ROCK RD
SOMO BELLEFONTAINE HABIL	10695 BELLEFONTAINE RD
DRURY INN #75	10490 NATURAL BRIDGE RD
WINGATE #124	10820 PEAR TREE LN
PEAR TREE INN #22	10810 PEAR TREE LN
DEDICATED N ST LOUIS	175 N OAKS PLZ
NORTHWAY SUPERMARKET	5590 W. FLORISSANT
FSC 315 LUTH HIGH NORTH	5401 LUCAS AND HUNT RD
DEDICATED FERGUSON	10990 NEW HALLS FERRY RD
CLEAN EATZ KITCHEN	14042 RIVERPORT DR
TUCANOS BRAZILIAN GRILL	1520 S 5TH ST STE 100
EMBASSY STS STL ST CHRLES	2 CONVENTION CENTER PLZ
SALT AND SMOKE SAINT CHAR	501 S MAIN ST
LEWIS & CLARK	217 SOUTH MAIN STREET
SUGARFIRE ST CHARLES	3150 ELM POINT INDUSTRIAL
MASSA'S NEW TOWN	3761 NEW TOWN BLVD
LIONS CHOICE ELM #19	3140 ELM POINT INDUSTRIAL
NAPOLI 3	1450 BEALE ST #105
DRURY PLAZA HOTEL #178	380 MULHOLLAND ST
WASABI SAINT CHARLES	1650 BEALE ST
BL #1405 ST CHRLS	1650 BEALE ST UNIT 180
CHICKEN SCRATCH 2	9900 MANCHESTER RD
HOLLYBERRY BAKING	10037 MANCHESTER RD
HI POINTE KIRKWOOD #1003	951 S KIRKWOOD RD
SALT AND SMOKE KIRKWOOD	110 S KIRKWOOD RD
NAPOLI KIRKWOOD	436 NORTH KIRKWOOD ROAD
PJS TAVERN	123 W JEFFERSON AVE
AMIGOS CANTINA	120 WEST JEFFERSON AVE
BEST WESTERN STL KIRKWOOD	1200 S KIRKWOOD RD
FSC 314 LUTHERAN HIGH STH	9515 TESSON FERRY RD
ST JUSTIN THE MARTYR	11914 EDDIE AND PARK RD
HARRIS HOUSE BROADWAY	8315 S BROADWAY
WASABI KIRKWOOD	312 S KIRKWOOD RD
POOR RICHARDS FENTON	960 BROOKWOOD CENTER
RUSSELLS CAFE AND BAKERY	952 BROOKWOOD CENTER
RICOS TACOS	958 BROOKWOOD CTR
EX FENTON STLFE	1848 BOWLES AVE
DELMAR GARDEN MERAMEC VAL	1 ARBOR TERRACE
3 MARGARITAS	69 FENTON PLZ
VIVIANOS FENTON	55 FENTON PLZ
FIESER NURSING HOME	404 MAIN ST
PASTA HOUSE HIGH RIDGE FR	4517 GRAVOIS VILLAGE CTR
LA CASONA MEXICAN REST	5660 HIGHWAY PP
SLINGERS	4662 GRAVOIS RD
OUR LADY QUEEN PEACE SCH	4696 NOTRE DAME LANE
SHORTLEAF BREWPUB	7434 VILLAGE CENTER DR
DELMAR GARDENS CHESTERFLD	14855 N OUTER 40 ROAD
CHESTERFIELD VILLA N H	14901 N OUTER 40
FSC 906 LOGAN COLLEGE FSC	1851 SCHOETTLER RD
OBQS	158 LONG RD
RESIDENCE INN	16875 N OUTER 40 RD
DRURY PLAZA HOTEL #121	355 CHESTERFIELD CTR
TOWNPLACE SUITES	748 PREMIUM WAY
TULLYS TAP	1120 TECHNOLOGY DR
STL KOLACHE CREVE COEUR	1300 N LINDBERGH BLVD
RUSSOS GOURMET EXPRESS	9904 PAGE AVE
FSC 904 ALBERICI CNSTRCTN	8800 PAGE AVE
SALT AND SMOKE DELMAR	6525 DELMAR BLVD
LA BONNE BOUCHE	12344 OLIVE BLVD
MEXICAN BARREL HOUSE	1035 NORTH MASON ROAD
BKD  CREVE COEUR #02009	1 NEW BALLAS PL
COURTYARD N NEW BALLAS	828 N NEW BALLAS
BRIGHT HORIZONS #1276	800 N. LINDBERGH BLVD
PORANO  DES PERES	13323 MANCHESTER RD
BKD  WEST COUNTY #19760	785 HENRY AVE
DELMAR GARDENS WEST	13550 S. OUTER RD
GARDEN VILLAS WEST	13590 SOUTH OUTER FORTY
FSC 113 ST LOUIS PRIORY	500 S MASON RD
HOPE MONTESSORI ACAD BALW	2809 BARRETT STATION RD
MGM QUARTERS OF DES PERES	13230 MANCHESTER RD
RESIDENCE/COURTYARD W CTY	12815 DAYLIGHT DR
WASABI TOWN AND COUNTRY	1066 TOWN AND COUNTRY
AMERICAN KOLACHE	14786 MANCHESTER RD
DELMAR GARDENS ON GREEN	15197 CLAYTON RD
THE CRAFTY CHAMELEON BREW	1384 CLARKSON CLAYTON CTR
JERSEY MIKES #25030	15005 MANCHESTER RD
ROCKWOOD SCHOOL DISTRICT	17146 MANCHESTER ROAD
WILDWOOD PUB AND GRILL	17253 NEW COLLEGE AVE
BARTOLINOS TWIN OAKS	1304 BIG BEND ROAD
WING SNOB TWIN OAKS	1410 BIG BEND ROAD
TUCKERS PLACE WEST	14282 MANCHESTER RD
UNCLE BILLS PANCAKE W	14196 MANCHESTER ROAD
STL KOLACHE COTTLEVILLE	4506 MID RIVERS MALL DR
HARRIS HOUSE FOUNDATION	2706 S RIVER RD
HAM N EGG ST PETERS	3640 HARVESTER RD
CECIL WHITTAKERS WELDON S	1017 WOLFRUM RD
MANNINO MARKET	5205 HIGHWAY N
DELMAR GARDENS OFALLON	7068 SOUTH OUTER 364 ROAD
GARDEN VILLAS OFALLON MO	7092 S OUTER 364
PARK PLACE AT WINGHAVEN	2002 BOARDWALK PLACE DR
THE VERO OF O FALLON	1000 LANDING CIR
LIONS CHOICE MIDRIVRS #15	6274 MID RIVERS MALL DR
