DBA	LOCATION
BRIGHTLY SR LIVING MASOUT	649 LEGACY PLACE
GERMANTOWN ELEM SCH DIST	401 WALNUT ST
DAMIANSVILLE ELEM SCH	101 E MAIN ST
ALBERS GRADE SCH DIST 63	206 N BROADWAY
AVISTON ELEMENTARY SCHOOL	350 S HULL
POPEYES CHOPHOUSE2	17910 SAINT ROSE RD
ST ROSE ELEMENTARY S	18004 ST ROSE RD
OLD 50 CAFE	870 FRANKLIN ST
HOMETOWN CAFE	401 CLINTON ST
LOS AMIGOS III	5 RESORT DR
GOVERNORS RUN	3300 GOVERNORS DR
PRIMROSE SCHOOL OF BALLWN	15031 MANCHESTER RD
FSC 461 HOPE MONTESSORI	16554 CLAYTON RD
KS THE CNTRY CLB ST ALBNS	3165 SAINT ALBANS RD
LETTY LOU'S CAFE	17209 NEW COLLEGE AVE
MULLIGAN'S GRILL	11 CLARKSON RD
AC CARDINAL RTTR CLG PRET	701 N SPRING AVE
THE KITCHEN BAR	3730 FOUNDRY WAY # 3
FSC 205 ST JOSEPH ACADEMY	2307 S LINDBERGH BLVD
FSC 908 VISITATION ACAD	3020 N BALLAS RD
BOARDWALK CAFE WEBSTER	600 E. LOCKWOOD
NOURISH - WESTMINISTER	800 MARYVILLE CENTER DR.
ROBERTOS	145 CONCORD PLAZA SHOPPIN
ST CLEMENT ATHLETIC   *B*	1508 BOPP ROAD
GARDEN VIEW CARE CENTER	1025 CHESTERFIELD POINTE
COURTYARD-WESTPORT	11888 WESTLINE INDUSTRIAL
FSC 385 HOLY SPRT CTH SCH	3120 PARKWOOD LN
BREW BITES PNTO	6662 DELMAR BLVD
SHOGUN PNTO	10550 BAPTIST CHURCH RD
TACOS UNO PNTO	4319 TELEGRAPH RD
3MIX BBQ PNTO	15622 MANCHESTER RD
QUICK CRAVE PNTO	2313 MCKELVEY RD STE B
MIDWESTERN ON MAIN PNTO	208 N MAIN ST
LANEYS ON TUCKER PNTO	220 S TUCKER BLVD
BUDDYS WINE PNTO	1001 WASHINGTON AVE
POLITE SOCIETY PNTO	1923 PARK AVE
TUCKERS SOULARD PNTO	2117 S 12TH ST
BENTON PARK CAFE PNTO	2901 SALENA ST
PRESS PIZZA + PASTA PNTO	2509 S JEFFERSON AVE
LA CRAZY MARGARITA PNTO	3131 S GRAND BLVD
MY PLACE PNTO	7401 WATSON RD
BAGEL UNION PNTO	8705 BIG BEND BLVD
DD MAU WEBSTER PNTO	8169 BIG BEND BLVD
AMERICAN LEGION POST # 5N	1423 TANNERBRIDGE RD
TAQUERIA EL TAPATIO L	3600 COUNTRY CLUB DR STE
FAIRFIELD INN JEFF CITY	3621 W TRUMAN BLVD
WESTBROOK TERRACE A L	3335 N 10 MILE DRIVE
THE ARBORS WESTBROOK MC	3409 N. TEN MILE DRIVE
STADIUM GRILL	1219 FELLOWS PLACE
MU HC NEXTGEN CAFE	1030 HITT ST
MU CDS MM CENTRAL	901 E ROLLINS STREET
MU CDS BOOKMARK CAFE	1020 LOWRY ST
CLUB LA BOOCHE	110 S 9TH ST
SB COLUMBIA COUKS	805 N KEENE ST
MU GEN CHILD DEVELOPMENT	32 GWYNN AND STANLEY HALL
SAGE	11 N 9TH ST
BANGKOK GARDENS	811 CHERRY ST
GOOD DAY FARM	5301 PARIS RD
MU CDS POTENTIAL ENERGY	416 S 6TH ST RM E1426
KC #301018 COLUMBIA	2416 WEST ASH STREET
ATELIER SCHOOL	1609 CHAPEL HILL RD
TONYS PIZZA PALACE	17 N 5TH ST
QUICKWAY HIBACHI	2540 BROADWAY BLUFFS DR
MU CDS CDK	1100 ROLLINS ST
MU HC WAREHOUSE PAPER	2401 LEMONE INDUSTRIAL DR
O2B KIDS EAST COLUMBIA	3250 S BEARFIELD RD
MU CDS MM SOUTHWEST	402 KENTUCKY AVE
FR TOLTON CATHOLIC HIGH S	3351 E GANS RD
SIH M HOSP CARB PINK GRNM	405 W JACKSON ST
NEIGHBORHOOD GROCERY COOP	1815 W MAIN ST
CUMMARES	1023 CHESTNUT ST
APPLE CREEK GOLF CLUB	503 STONE CREEK DR
SOUTHERN 7 HD - COBDEN	8125 OLD HIGHWAY 51 N
JR CENTRE INC	100 FLORSHEIM DR
SPANISH OAKS CENTER	223 WEST VIENNA ST
SHAWNEE CUSD 84 JR&SR HIG	3365 STATE HWY 3 S
ST NICHOLAS BREWING CO MD	556 N AIRPORT RD
PILOT #59500 MARION	2611 VERNELL ROAD
R2R HURRICANE CREEK APRTS	400 LOU ANN DR
GIANT CITY SCHOOL	1062 BOSKYDELL RD
CARBONDALE HIGH SCH DIST	330 S GIANT CITY RD
ELVERADO PRIMARY SCHOOL	514 S 6TH ST
LINCOLN ELEMENTARY	400 MORNINGSIDE DR
WASHINGTON ELEMENTARY SCH	420 E. MAIN ST
MARION JR HIGH	1609 WEST MAIN ST.
LONGFELLOW SCHOOL	1400 W HENDRICKSON ST
MARION HIGH SCHOOL	1700 WILDCAT DRIVE
ADAMS SCHOOL	15470 LAKE OF EGYPT RD
THE CROSS EYED BEAR	12024 LAGUNA DR
WAYNE CITY GRADE SCHOOL	403 MILL STREET
FAIRFIELD COMM HIGH SCHOO	300 W KING
K & M DINER	410 S 1ST ST
MT ERIE SCH NO WAYNE SCHS	RR 1
CISNE MIDDLE SCHOOL	206 MULBERRY ST
KELL GRADE SCHOOL	207 N. JOHNSON ST.
CENTRAL CITY SCHOOL	129 N DOUGLAS
BRIDGES LEARNING CENTER	200 SOUTH PINE ST
NEW CENTRALIA HOUSE	111 N OAK ST
PARK PLACE	332 COUNTRY CLUB ROAD
DIAMONDVIEW	338 COUNTRY CLUB ROAD
KASKASKIA WORKSHOP	299 SWAN AVE.
ASHLEY SCHOOL	450 NORTH 3RD STREET
GRAND PRAIRIE SCHOOL	21462 N RICHVIEW LANE
NORTH WAMAC SCHOOL	1500 CASE ST
FIRESIDE HOUSE OF CENT	1030 MARTIN LUTHER KING
RACCOON GRADE SCHOOL	3601 STATE ROUTE 161
COMFORT SUITES	404 S 44TH ST
MT VERNON CITY SCH DST 80	1800 MAIN
OPDYKE CONSOLIDATED SCH	19380 EAST 4TH STREET
MOUNT VERNON TWP HIGH SCH	11101 N WELLS BYPASS
WALTONVILLE SCHOOL	804 W KNOB
FCHS CAFE	601 E MAIN ST
TA STORE #0043300 MT VERN	4510 BROADWAY ST
SOUTHERN 30 ADOLESCENT CT	17077 N IL HWY 37
QDOBA #2277 GREEN MOUNT	3210 GREEN MOUNT CROSSING
QDOBA #2438 COLLINSVILLE	1100 COLLINSVILLE CROSSIN
QDOBA #2310 TROY	2100 TROY RD
QDOBA #2689 BASS PRO	1315 BASS PRO DR
QDOBA #2917 HWY K	1290 STATE HWY K
QDOBA #2391 HIGHWAY N	7863 HIGHWAY N
QDOBA #1755 PAGE AVE	11500 PAGE SERVICE DR
PRETZEL BOYS	11750 MANCHESTER RD
RACANELLI'S KIRKWOOD	111 N KIRKWOOD RD
THE MARY CULVER HOME	221 W WASHINGTON AVE
FSC 805 SACRED HEART SCHL	12 ANN AVE
FSC 803 ST PETR CATHLIC	215 N CLAY AVE
FSC 126 ST CLEMENT ROME	1508 BOPP RD
FSC 121 ST GERARD MAGELLA	2005 DOUGHERTY FERRY RD
KC #000098 KIRKWOOD	13550 BIG BEND ROAD
MISSOURI TORAH INSTITUTE	1809 CLARKSON RD
FSC 319 ASCENSION CTH SCH	238 SANTA MARIA DR
COURTYARD BY MARRIOTT	17369 CHESTERFIELD AIRPOR
ST LUKES REHAB HOSPITAL	14709 OLIVE BLVD
RANKEN JORDAN	11365 DORSETT ROAD
HOPE MONTESSORI CREVE COR	900 N MASON RD
TIMOTHYS	12710 OLIVE BLVD
KC #301412 CREVE COEUR	12821 PORTULACA DRIVE
PINK GALLEON WEST	1243 CASTILLON ARCADE
AMIGO JOES	5901 SOUTHWEST AVE
KC #000617 ST. LOUIS	2500 HAMPTON AVENUE
THE GROVE AT KIRKWOOD	711 S KIRKWOOD RD
KC #302163	10555 BIG BEND RD
KNEAD BAKEHOUSE	3467 HAMPTON AVE
FSC 355 SOUTH CTY CATHLIC	5821 PERNOD AVE
ANN AND ALLEN BAKNG #1917	6261 KNOX INDUSTRIAL DR.
FSC 809 IMMACOLATA SCHOOL	8910 CLAYTON RD
IMMACOLATA FISH FRY	8910 CLAYTON RD
FAZIOS BAKERY	1717 SUBLETTE
IMO MEAT & SAUSAGE CO	5040 DAGGETT AVENUE
BAYMONT INN FARMINGTON	1625 COLUMBIA
SOUTHERN MISSOURI REENTRY	850 PROGRESS DR
MAPLEBROOK ALF	520 MAPLE VALLEY DRIVE
MAPLEBROOK ARBORS MC	526 MAPLE VALLEY DRIVE
MIDTOWNE MARKET	317 HAWTHORN AVE
O2B KIDS ST CHARLES	157 HUGHES LN
FSC 920 ST CHARLES BOROME	431 DECATUR ST
FSC 435 ACADEMY SACRD HRT	619 N 2ND ST
FSC 110 DUCHESNE HIGH SCH	2550 ELM ST
FSC 610 ST CLETUS SCHOOL	2721 ZUMBEHL RD
PREFERRED FAMILY HC OLD R	1601 OLD SOUTH RIVER RD
PFH MAIN ST ST CHARLES	1570 S MAIN ST
WALLIS MOTO FENTON	102 DELORES DR # A
LAPETITE #10540-7109	1000 BROOKWOOD CENTER
LA QUINTA INN &STS #53782	1580 S KIRKWOOD RD
ROAD RANGER #145 FENTO	205 N HIGHWAY DR
KC #081099	241 WOLFNER DR
FSC 317 STPAUL SCH FENTON	465 NEW SMIZER MILL RD
KC #301525 FENTON	1481 HAWKINS ROAD
TAPAWINGO NATIONAL GOLF	13001 GARY PLAYER DR
PRETZEL BOYS 2	3802 S LINDBERGH STE 105
CASA DIA MONTESSORI WATSN	10109 WATSON ROAD
SUGARFIRE PIE	9200 OLIVE SUITE 108
FSC 340 OUR LADY PILLAR	403 S LINDBERGH BLVD
THE HIVE	609 N NEW BALLAS RD
KC #000168 CHESTERFIELD	2275 VILLAGE GREEN PKWY
NAPOLI 2	1054 TOWN AND COUNTRY CRO
THE CTR AT CONWAY LWR LVL	13725 CONWAY RD
THE CTR AT CONWAY UP LEVL	13725 CONWAY RD
LUCKY TRADING	1550 PAGE INDUSTRIAL CT
THE FRANKLIN OF SOULARD	816 ALLEN AVE
HOLY TRINITY SEO CHURCH	1910 SERBIAN DR
HAVE A COW CAFE	2742 LAFAYETTE AVE
LIFEWISE	1321 S 11TH ST
BRIGHT HORIZONS #0885	7501 MARYLAND AVE
HALF & HALF LLC	8135 MARYLAND AVENUE
SOMO DEPT OF JSTCE STL CO	100 S CENTRAL AVE
SOMO STLOUIS CNTY COR MED	100 S CENTRAL AVE
MOTHER OF GOOD COUNCL PMR	140921
BARACK OBAMA ELEMIDDLE	3833 JENNINGS STATION RD
ST LOUIS CORP CTR-CULINRY	4333 GOODFELLOW BLVD
FSC 145 BLESSED TERESA CC	150 N ELIZABETH AVE
CASA	3417 ST THOMAS MORE PLACE
BEL NOR ELEMENTARY	3101 NORDIC DRIVE
NORMANDY EARLY LEARNING	7855 NATURAL BRIDGE ROAD
LUCAS CROSSING ELEMIDDLE	7837 NATURAL BRIDGE ROAD
JEFFERSON ELEMIDDLE	4315 CARDWELL DRIVE
ST VINCENT HM FOR CHLDRN	7401 FLORISSANT RD
HILLTOP DAYCARE CENTER	6155 W FLORISSANT
ELITE SUPERMARKET	8337 N BROADWAY
HELFERS PASTRIES AND DELI	380 SAINT FERDINAND ST
FSC 320 ST NORBERT SCHOOL	16475 NEW HALLS FERRY RD
MALLY SUPERMARKET 2	12080 PATTERN DR
MIAMI GRILL HALLS FERRY	12925 NEW HALLS FERRY RD
BIG BELLY DELI	392 SAINT FERDINAND ST
FSC 127 ST FERDINAND	1735 CHARBONIER RD
KC #000366 HAZELWOOD	6200 HOWDERSHELL ROAD
LA JUICY SEAFOOD FLORISSA	10732 W FLORISSANT AVE
EL MAGUEY WENTZVILLE	1075 W PEARCE BLVD
O2B KIDS WENTZVILLE	1401 NEELA RD
FSC 604 SACRED HEART TROY	110 THOMPSON DR
LINCOLN COUNTY COUNCIL	1380 BOONE ST
WRIGHT CITY COMMUNITY FOO	217 E 1ST ST N
QUALITY INN FORISTELL	12 HIGHWAY W
WENTZVILLE VFW POST 5327	1414 HIGHWAY Z
DOS PRIMOS ELSBERRY	457 N MAIN ST
ELAINE ROSI ACADEMY	8900 MANCHESTER
FSC 910 ROHAN WOODS SCHOL	1515 BENNETT AVE
FSC 434 MARY QUEEN PEACE	680 W LOCKWOOD AVE
ST MICHAEL	7630 SUTHERLAND
PREFERRED FAM HC CHIPPEWA	7020 CHIPPEWA ST
DUPO JR SR HIGH SCH #196	600 LOUISA  AVE
SUGARFIRE WENTZVILLE	905 BLUFFVIEW ELMENTARY
CMPS GARDEN PL COLUMBIA	480 DD RD
OLD MONROE DISTILLERY  CO	8787 RICKHOUSE ROAD
FSC 801 ST MARGARET MARY	4900 RINGER RD
KC #301723 ST. LOUIS	4105 TELEGRAPH ROAD
PRETZEL BOYS TELEGRAPH	4338 TELEGRAPH RD
FSC 504 QUEEN OF ALL SNTS	6611 CHRISTOPHER DR
NORMANDY HIGH SCHOOL	6701 ST CHARLES ROCK ROAD
DOORWAYS	4385 MARYLAND
FSC 109 ROSATI KAIN HS	4389 LINDELL BLVD
FSC 235 CLAYTON CHLDHD CR	1 OAK KNOLL PARK
WASHINGTON ELEMIDDLE	1730 NORTH HANLEY ROAD
GOOD SHEPHRD CHLD&FAM SVC	1340 PARTRIDGE AVE
MIAMI GRILL/PAGE	7017 PAGE
HYATT SELECT ST. LOUIS AI	4576 WOODSON RD
EX ST LOUIS AIRPORT STLLF	10000 NATURAL BRIDGE RD
SOMO WEINMAN SHELTER	4201 MCKIBBON RD
BELRIDGE	8930 BOSTON AVE
EVANGELICAL CHILDRENS PMR	8240 ST CHARLES ROCK RD
MIAMI GRILL ROCK RD	12499 NATURAL BRIDGE RD
EL MAGUEY NATURAL BRIDGE	12460 NATURAL BRIDGE RD
O2B KIDS OVERLAND	9636 MIDLAND BLVD
EL MEXIQUENSE	9519 LACKLAND RD
KC #300389 EDWARDSVILLE	500 GOSHEN ROAD
LAPETITE #10533-7100	2 AUERBACH PLACE
O2B KIDS EDWARDSVILLE	2545 S STATE ROUTE 157
GOOD SHEPHERD LUTH CHURCH	1300 BELT LINE RD
STS PTR & PL CTHLC SCH/PR	207 VANDALIA ST
ST JOHN NEUMANN CATHOLIC	142 WILMA DR
TA STORE #0199300 TROY	819 EDWARDSVILLE RD
1ST BAPTIST OF MARYVILL	7110 STATE ROUTE 162
ONESTO PIZZA AND TRATTOR	5401 FINKMAN ST
MACK BAR AND GRILL	4615 MACKLAND
FSC 102 BISHOP DUBOURG HS	5850 EICHELBERGER ST
FSC 123 ST CECILIA	906 EICHELBERGER ST
FSC 350 ST STEPHEN	3929 WILMINGTON AVE
SOMO SO COUNTY HABIL CTR	2312 LEMAY FERRY RD
PREFRRD FAM HC-DUNNICA	4066 DUNNICA AVE
DEDICATED TOWER GROVE	3721 S GRAND BLVD
FSC 405 ST DOMINIC PRIORY	3407 LAFAYETTE AVE
THE DRAWING BOARD	4123 CHIPPEWA ST
MIAMI GRILL CHIPPEWA	5353 CHIPPEWA ST
SALVAGE YARD PIZZA AND GR	5406 HAMPTON AVE
SOMO MISSOURI HILL CAMPUS	13323 BELLEFONTAINE RD
BOWL HAVEN LANES	3003 WASHINGTON AVE
BEST WESTERN PARKWAY	1900 HOMER M ADAMS PKWY
DELMAR PUBLIC HOUSE	2926 W DELMAR AVE
ST MARYS SCHOOL ALTON	519 E 4TH ST
GAME OVER	1022 E BROADWAY
MI PUEBLITO CANTINA	48 W EDWARDSVILLE RD
RUMAS DELI LEMAY	1395 COVINGTON MANOR LN
MATTIS POINTE	4962 MATTIS RD
LAPETITE #10538-7107	12836 TESSON FERRY RD
FSC 507 ST CATHERINE LABR	9750 SAPPINGTON RD
JOE BOCCARDIS	8556 WATSON ROAD
M AND M BAR AND GRILL	9711 GREEN PARK INDUSTRIA
CHILDTIME #10220-2202	2130 MICHIGAN AVE
SAINT JOSEPH SCHOOL	6024 OLD ANTONIA RD
LAPETITE #10535-7102	3607 RICHARDSON SQ RD
CHINA BUFFET	3833 LEMAY FERRY ROAD
O2B KIDS SHILOH	811 W HIGHWAY 50
LAPETITE #10534-7101	940 TALON DR
REGENCY MANOR	128 REGENCY PARK
TOWNEPLACE STS STL OFALLN	445 REGENCY PARK
EX O FALLON OFAIL	3396 GREEN MOUNT CROSSING
LAPETITE #10532-7099	2390 LEBANON AVE
SKATE CITY BELLEVILLE	1400 WEST BLVD
1428 TAP HOUSE	1428 N ILLINOIS ST
MARGARITAS DOWNTOWN	108 E A ST
WING CHINA	9 BELLEVUE PARK PLZ
B & H MARKET	2244 W OSAGE ST
WALLIS MOTO PACIFIC	2027 W OSAGE ST
SOUTH POINTE ALF	5125 OLD HWY 100
WASHINGTON PLACE MC	2701 RABBIT TRAIL DR.
SOMO AUTUM HILL ST SCH	300 AUTUMN HILL DR
FSC 525 STFRNCS BRG GDSCH	225 CEDAR ST
PARK AVENUE COFFEE #1923	2 E FIFTH STREET
EXIT 11	1351 JEFFERSON ST STE 120
BROWN JERRYS BLUES BREWS	147 W SAINT LOUIS ST
VILLAGE CAFE LSL	6127 RONALD REAGAN DR
O2B KIDS LAKE ST LOUIS	1000 WYNDGATE RIDGE DR
FSC 615 IMACULAT ICDDARDN	2089 HANLEY RD
CAE #902 O'FALLON	9983 WINGHAVEN BLVD
BRASS RAIL	4601 STATE HIGHWAY K
MURPHYS VILLAGE PUB II	3002 WINGHAVEN BLVD
WALLIS MOTO CALEDONIA	701 CALEDONIA DRIVE
DAN'S COUNTRY MEATS	3622 MILL ST
BOONE VALLEY GOLF CLUB	1319 SCHLUERSBURG ROAD
GOOD NEWS BREWING  DEFIAN	2886 SOUTH MISSOURI 94
FSC 301 ST JOSEPH SCHOOL	1351 MOTHERHEAD RD
FSC 230 MESSIAH LUTHERAN	5911 MO-94
PRIMROSE ST CHAR HERITAGE	1001 HERITAGE XING
O2B KIDS BLUESTONE	2041 BLUESTONE DR
KC #301450 ST CHARLES	1900 ZUMBEHL ROAD
FRATELLIS RISTORANTE	2061 ZUMBEHL
FSC 438 SETON REGIONAL CA	2 SETON CT
KC #000772 ST. PETERS	4150 S. CLOVERLEAF DRIVE
KCLC #302051	515 FLORENCE DR
SLEEP INN & SUITES	1147 TECHNOLOGY DR
KC #302135	4301 KEATON CROSSING BLVD
JJ'S RESTAURANT	200 FT ZUMWALT SQ
PINCKNEYVILLE HOSP/PREMIE	5383 STATE ROUTE 154
PINCKNEYVILLE ELEM SCH DI	301 W MULBERRY ST
NEW PERRY COUNTY MARKETPL	412 S MAIN ST
ST BRUNO SCHOOL	210 N GORDON STREET
PINCKNEYVILLE COMM HIGH S	600 E WATER ST
PINCKNEYVILLE JR HIGH SCH	700 E WATER ST
COMM CONS SCHL DIST 204	6067 STATE RT 154
MARSHALL BROWNING HOSP AM	900 N WASHINGTON
DUQUOIN HIGH SCHOOL DIST	500 EAST SOUTH STREET
DUQUOIN ELEM-MIDDLE DIST	845 E JACKSON ST
KC #000092 BALLWIN	497 BIG BEND ROAD
KC #300992 MANCHESTER	1290 HOLGATE DRIVE
CRESCENT FARMS GOLF CLUB	745 LEWIS RD
PEVELY FARMS GOLF CLUB	400 LEWIS RD
FSC 390 MST SCRD HRT ERKA	350 E 4TH ST
FSC 445 LASALLE RETREAT	2101 RUE DE LA SALLE DR
GOOD NEWS BREWING WILDWOO	2603 WEST AVE
FSC 465 ST JOHN SCHOOL	15800 MANCHESTER RD
CDLC-CLA #085029	15677 MANCHESTER RD
FSC 108 HOLY INFANT SCHOL	248 NEW BALLWIN RD
LAPETITE #10539-7108	354 NEW BALLWIN RD
PAPAYA GRILL	567 ST JOSEPH LANE
ST ELIZABETH SCHOOL	2300 PONTOON RD
ST ELIZABETH SCHOOL CAFE	2300 PONTOON ROAD
GF CASEYVILLE RES CTR	600 W LINCOLN AVE
ST CLAIR CO DETENTION CTR	9006 LEBANON ROAD
KC #302119	1 CORPORATE DR
BAYMONT BY WYNDHAM O FALL	1320 PARK PLAZA DR
ANDRIAS FOOD GROUP INC	6805 OLD COLLINSVILLE RD
LC'S PUB	605 W MAIN
IRON RAIL PUB	2502 N 45TH ST
DIAMOND CABARET	1401 MISSISSIPPI AVE
FSC 125 ST LOUIS CATH ACD	1106 N JEFFERSON AVE
SOMO HOGAN ST REGNL YTH C	1839 HOGAN STREET
FSC 375 CITY ACADEMY	4175 N KINGSHIGHWAY BLVD
FSC 302 LOYOLA ACDMY STL	3851 WASHINGTON BLVD
UNITED FRUIT & PRODUCE	2613 N BROADWAY
UNITED FRUIT PRODUCE FRES	121 MONROE ST
FACTORY DINER	200 W 1ST STREET
SOUTHBROOK NURSING	1101 HAZEL LN
FSC 212 ST PIUS X HIGH SC	1030 SAINT PIUS DR
REFLECTIONS EQUESTRIAN CE	1500 DAVID MNR
FSC 914 SRVNTS PRCL VIENY	6476 EIME RD
WHITE ROSE CAFE LTD	208 E MAIN
SOMO ST CHARLES HABIL CTR	22 MARR LANE
O2B KIDS COTTLEVILLE	1481 COTTLEVILLE PKWY
RACANELLIS PIZZA  ST PETE	3945 MID RIVERS MALL DR
TRUE MANUFACTURNG/OFAL	2001 E TERRA LN BLDG T10
O2B KIDS OFALLON MO	864 HOMEFIELD BLVD
COMFORT INN & STS CHARLES	100 COMFORT INN CT
GREAT SKATE MO	130 BOONE HILLS DR
SPENCER PLACE ALF	265 SPENCER RD
FSC 605 ST PAUL SCHOOL	1235 CHURCH RD
CHESTNUT GLEN BY AMERICAR	121 KLONDIKE CROSSING
HONEY HOLE BAR AND GRILL	3295 MISSISSIPPI AVE
EL AGAVE WATSON	10893 SUNSET HILLS PLAZA
LAS FUENTES NORTH	680 N LINDBERGH
GOLDEN OAK STP	6149 MID RIVERS MALL DR
EL AGAVE WENTZVILLE	1201 WENTZVILLE PARKWAY
VANGELS PNTO	10017 MANCHESTER RD
CAFE MANHATTAN PNTO	505 S HANLEY RD
SIDE PROJECT PIZZA PNTO	2657 LYLE AVE
ACERO PNTO	7266 MANCHESTER RD
MEATS AND MORE	147 FLOWER VALLEY SHOPPIN
CHIMICHANGAS PNTO	5425 S GRAND BLVD
GRACE MEAT + FISH PNTO	8654 WATSON RD
GRACE MEAT +THREE PNTO	4270 MANCHESTER AVE
THE MIDWESTERN PNTO	900 SPRUCE ST
CRAFTED PNTO	3200 SHENANDOAH AVE
NEIGHBORS PLACE PNTO	229 E MARCEAU ST
SHAKING BOWL PNTO	5544 TELEGRAPH RD
CAFE FLEUR DE LIS PNTO	5569 TELEGRAPH RD
RAVENWOOD TERRACE MC	1828 RAVENWOOD DRIVE
RAVENWOOD TERRACE AST LIV	1830 RAVENWOOD DR
BLACK MARKET BBQ	1515 S MORLEY ST
COMFORT INN & SUITES MOBE	1801 W OUTER RD
D'ABOLENGO	530 HIGHWAY 24
CCPS BEAN STEPHEN DNG	118 W REED ST
JOES ITALIAN RESTAURANT P	318 W REED ST
MATRIARCHA	413 E CAPITOL AVE
ELM MEXICAN RESTAURANT	14228 MOUNT CARMEL RD
JUST JEFFS	701 BUSINESS LOOP 70W
G AND D PIZZARIA	2101 W BROADWAY-STE "L"
CHRIS MC DS	1400 FORUM BLVD STE 7A
HIGHBALL KITCHEN AND COCK	132 S 9TH ST
VETERANS UNITED	550 VETERANS UNITED DR.
ANGELOS PIZZA	4107 S PROVIDENCE
HILTON GARDEN INN	3300 VANDIVER DR
COMFORT SUITES - COLUMBIA	1010 W BUSINESS LOOP 70
03011100 EHC RUSK MU HLTH	315 BUSINESS LOOP 70 WEST
ALPHA GAMMA SIGMA	407 BURNAM AVE
LA TOLTECA	2709 E BROADWAY
SHILOH BAR AND GRILL NEW	402 E BROADWAY
KRUSTACEANS SEAFOOD COLUM	22 N 9TH ST
ASHLAND VILLA LLC	301 S HENRY CLAY BLVD
MO NATIONAL GUARD	2302 MILITIA DR
STRIKERS BOWLING	2017 CHRISTY DR
LUNA AZTECA	2403 MISSOURI BLVD
ELM FAMILY RESTAURANT LLC	13601 ROUTE C
DON JOSE	111 SOUTH GRAND AVENUE
THE DEUCE PUB AND PIT	3700 MONTEREY DR
KOUNTRY KITCHEN	105 E MAIN ST
GABBY GOAT	303 E FAYETTE AVE
COUNTRY INN AND SUITES	1200 W RANEY ST
HANGAR 18	1112 MAINE ST
ALLIE WEBER	641 W 6TH STREET
PAGLIAIS PIZZA	1600 E LINCOLN AVE
SC CHARLESTON REHAB & NUR	716 18TH ST
CHANCES R SPORTS BAR	113 W CUMBERLAND ST
SC MARSHALL RHAB NRSNG	410 N 2ND ST
BAYMONT INN & SUITES	1811 W FAYETTE AVE
COMFORT SUTIES EFFINGHAM	1310 W FAYETTE AVE
NUXOLLS FOOD CENTER	1211 S BANKER ST
OPEN DOOR DINER	120 N MAIN ST
CHUCKWAGON CAFE	704 JANETTE DR
EL TACO FIESTA	116 KENNEDY BLVD
GROUCHYS PUBLIC HOUSE	303 W MAIN ST
DUE SOUTH BBQ	495 LIGHTHOUSE LN
CONNIE AT THE GAMBIT(SC)	CONNIE SUE'S REST CORP
TRIPLE E BBQ #9 INC	24 CHEEKWOOD LANE
EGYPTIAN CUSD #5	20023 DISWOOD RD
R2R RIVER TO RIVER ANNA	151 DENNY DR
DON SOL 2 INC  ANNA	847 E VIENNA ST
IRON WHISK	200 S FRONT ST
BUCKWATER BREWERY	213 E MAIN ST
ATTUCKS COMMUNITY SERVICE	227 W MAIN ST
LA FIESTA MEXICAN REST	1600 W KIMMEL ST
R2R BIG MUDDY APARTMENTS	5 N SHAWNEE DR
LOGAN ELEMENTARY MURPHYSB	320 WATSON ROAD
JACKSON CTY JAIL KITCHEN	1001 MULBERRY ST
MURPHYSBORO HIGH SCHOOL	50 BLACKWOOD DRIVE
CARRUTHERS ELEM SCH  MURP	80 CANDY LANE
MURPHYSBORO MIDDLE SCHOOL	2125 SPRUCE STREET
CRAZY JOE FISH HOUSE INC	693 SUCHMAN RD
SIH CANCER CENTER	1400 PIN OAK DRIVE
BLAZING TRAILS BBQ	892 ILLINOIS 37
ST NICHOLAS BREWING COMPA	12 S OAK ST
EMILYS EATERY AND EVENTS	302 UNION AVE #222
TCS WILLIAMSON COUNTY	404 N VAN BUREN ST
PATOKA SCHOOLS	1221 KINOKA ROAD
EL RANCHERITO EFFINGHAM	1311 N KELLER DR
THE RAIL YARD BAR AND GRI	200 W CENTER ST
TACO JOS OF CENTRALIA INC	400 S POPLAR ST
TEQUILA	1053 W BROADWAY
IUKA COMMUNITY SCHOOL	405 S MAIN
NASHVILLE HS DISTRICT 99	1300 S MILL ST
LAFIESTA	901 PRAIRIE AVE
COLUMBIAN CLUB OF CARLYLE	1471 FAIRFAX ST
COUNTRY AIRE RETIREMENT	18540 STATE HIGHWAY 16
REBEL PIG SMOKEHOUSE	119 S MAIN ST
CLARENCE NURSING HOME PMR	111 EAST STREET
PANCHITOS MEXICAN STEAKHO	203 N ROLLINS ST
EX HANNIBAL STLHB	120 SHINN LN
STONEY CREEK QUINCY	3809 BROADWAY STREET
MR BILL'S BAR AND GRILL	538 S 12TH ST
THE PATIO RESTAURANT	133 S 4TH ST
QDOBA #2143 MANCHESTER	14169 MANCHESTER RD
AG HIGHLANDS GLF&TNNS CLB	5163 CLAYTON AVENUE
MILLWOODS SPORTS BAR MARY	12067 DORSETT RD
LAS FUENTES ARNOLD	2198 MICHIGAN
LAS FUENTES MEXICAN REST	6025 TELEGRAPH
TEQUILAS OF COLUMBIA	850 COLUMBIA CTR
TEQUILAS OF WATERLOO	835 N MARKET ST
CENTER CROSS ACADEMY - MO	4257 MAGNOLIA AVE
